delta,theta,alpha,beta,gamma,class
20.498,15.293,15.959,21.969,18.624,0
19.826,15.355,17.344,24.764,25.798,0
23.311,19.473,16.588,21.452,22.068,0
17.397,12.833,16.131,23.605,25.906,0
24.354,14.59,14.31,20.973,21.495,0
24.366,12.702,12.854,22.989,21.413,0
18.579,15.798,15.014,25.166,21.745,0
15.213,10.711,10.829,14.451,17.164,0
17.194,13.081,13.724,13.41,10.306,0
30.883,16.87,12.574,14.899,14.914,0
18.539,16.566,17.862,17.312,13.165,0
16.691,18.492,18.328,20.053,12.325,0
14.015,14.126,15.49,16.66,10.822,0
27.495,17.319,15.458,15.907,14.412,0
16.574,10.64,10.179,10.283,10.661,0
28.509,19.703,15.026,17.396,19.444,0
12.455,14.022,14.317,13.295,10.395,0
33.201,20.078,17.57,20.639,21.004,0
15.076,13.808,13.711,14.669,10.548,0
14.042,9.4258,10.277,10.635,11.505,0
16.892,12.899,10.089,10.512,11.639,0
16.988,12.529,10.015,12.66,10.973,0
27.913,17.072,18.039,20.697,20.683,0
13.663,12.894,11.71,15.055,18.446,0
32.737,17.856,15.878,17.711,23.016,0
30.654,18.852,20.879,23.638,22.307,0
12.639,9.8955,13.06,17.456,20.889,0
20.057,12.391,11.825,13.447,14.921,0
19.577,13.095,14.487,18.036,21.115,0
26.094,12.704,14.045,18.917,25.857,0
12.191,12.239,13.927,13.975,10.764,0
10.697,11.703,9.5241,12.895,11.799,0
17.634,15.408,14.858,18.708,22.252,0
21.594,15.139,15.336,18.165,19.629,0
40.833,18.909,15.06,17.93,21.715,0
27.761,16.359,17.911,20.752,21.736,0
25.654,15.54,14.7,18.09,23.039,0
8.5643,7.7347,9.1947,10.493,11.562,0
37.996,20.826,16.795,20.537,21.567,0
16.18,9.7589,11.904,15.82,15.893,0
26.844,20.034,16.013,21.042,18.031,0
10.145,7.2168,9.342,10.909,12.058,0
10.897,11.908,12.879,14.586,15.574,0
20.115,15.186,18.799,19.567,20.513,0
22.358,12.978,14.033,18.88,17.842,0
22.063,14.349,12.719,16.935,18.66,0
22.882,14.905,16.814,19.05,18.679,0
19.325,17.739,15.867,19.369,21.25,0
11.103,10.406,14.029,15.962,16.03,0
28.733,16.165,17.963,22.597,21.409,0
21.303,10.757,12.243,19.01,18.57,0
13.906,9.8566,12.564,17.384,21.119,0
17.4,9.2923,10.306,14.826,13.444,0
35.001,17.296,16.479,19.305,23.463,0
19.676,11.853,15.55,22.21,23.619,0
27.956,17.066,14.479,21.076,23.735,0
34.08,13.504,16.435,18.636,21.129,0
19.424,12.896,14.497,18.56,18.028,0
17.045,11.615,18.489,18.838,14.233,0
13.029,10.146,18.039,15.682,14.44,0
8.3714,7.758,9.3258,10.934,11.561,0
29.416,18.553,21.629,21.068,22.363,0
14.676,13.296,13.022,18.273,13.774,0
22.977,12.723,14.366,20.83,20.937,0
13.548,9.6657,12.176,18.68,17.611,0
11.248,7.4127,8.0588,12.67,12.223,0
26.297,17.984,15.558,18.771,22.269,0
20.518,15.508,15.468,18.193,18.777,0
28.842,18.018,16.355,19.705,23.733,0
24.461,17.21,16.507,21.199,19.553,0
32.47,19.876,15.861,20.858,24.151,0
20.213,13.393,15.595,22.073,22.292,0
11.113,8.5043,9.8588,11.832,12.525,0
18.646,17.147,15.961,18.825,17.871,0
23.546,14.082,17.273,19.942,18.144,0
19.088,12.482,11.788,15.736,15.73,0
26.781,14.972,19.096,24.123,24.005,0
13.444,9.108,14.707,18.635,18.681,0
19.988,10.99,12.303,17.794,18.391,0
9.797,6.9352,7.6662,10.724,11.945,0
19.11,11.454,17.449,18.687,18.496,0
20.627,14.226,15.976,23.319,24.712,0
15.717,9.8535,8.9404,14.366,14.692,0
21.192,13.534,12.194,17.238,17.728,0
20.535,17.959,15.318,20.536,21.305,0
19.146,13.686,13.928,18.415,21.248,0
16.814,11.863,12.869,18.198,19.329,0
22.301,14.345,15.401,20.14,19.176,0
19.013,11.546,11.824,17.32,16.994,0
21.07,12.112,17.049,23.262,24.68,0
23.454,14.947,15.099,21.441,20.222,0
18.887,15.548,14.385,18.076,20.176,0
18.082,11.977,14.127,23.102,22.777,0
29.202,18.651,15.832,25.242,22.595,0
18.221,18.134,17.017,20.774,22.931,0
16.378,14.97,15.095,20.971,24.424,0
19.269,14.218,14.03,22.551,17.776,0
23.25,12.834,13.296,18.406,21.826,0
17.906,13.379,15.252,23.619,23.203,0
20.608,11.647,16.505,19.474,21.041,0
80.224,169.59,248.41,213.64,272.17,1
114.44,171.95,250.86,210.25,296.32,1
45.105,97.367,162.83,139.83,258.97,1
19.528,27.693,82.246,113.41,64.695,1
71.244,109.98,207.36,189.07,108.92,1
